title,artist,genre,tempo,mood_tags
"Kutu Ma Kutu","Rajan Raj Shiwakoti, Melina Rai","Pop",120,"Happy,Celebratory"
"Sali Mann Paryo","Kali Prasad Baskota, Ashmita Adhikari","Pop",115,"Happy,Romantic"
"Maya Birani","Mahesh Kafle, Melina Rai","Pop",110,"Romantic,Calm"
"Phul Butte Sari","Rajan Raj Shiwakoti, Milan Newar","Folk",105,"Happy,Celebratory"
"Kasari Kasari 2","Tanka Budhathoki, Melina Rai","Pop",100,"Romantic,Sad"
"Nacha Firiri","Mahesh Kafle, Melina Rai","Folk",110,"Nostalgic,Happy"
"Gojima Daam Chaina","Rajan Raj Shiwakoti, Melina Rai","Pop",125,"Happy,Uplifting"
"Salko Pat Ko Tapari","Bishnu Majhi, Kulendra BC","Folk",115,"Happy,Traditional"
"Lajalu Mayalu","Urgen Dong, Anu Chaudhary","Pop",110,"Romantic,Happy"
"Chamak Chamak","Santosh Sunar","Pop",120,"Happy,Energetic"
"Hamro Yo Maya Nachutos","Urgen Dong, Benisha Poudel","Pop",105,"Romantic,Calm"
"Darshan Salam","Deepak Raj Giri, Swastima Khadka","Pop",115,"Happy,Celebratory"
"Meri Champa","Tanka Timilsina","Folk",110,"Romantic,Nostalgic"
"Chhunumunu Chhunumunu","Ashish Aviral","Pop",120,"Happy,Uplifting"
"Keshari","SD Yogi","Pop",115,"Energetic,Romantic"
"Fulai Ful Dinchhu Ki","Shiva Pariyar","Pop",100,"Romantic,Sad"
"Rupai Mohani","Tanka Budathoki","Pop",110,"Happy,Romantic"
"Parana Parana","Pushpan Pradhan","Pop",105,"Romantic,Calm"
"Pahilo Number Ma","David Shanker, Bindu Pariyar","Pop",120,"Happy,Energetic"
"Pirim Nalaune","Melina Rai, Ashish Sachin","Pop",115,"Romantic,Sad"
"Maya Luki Luki","Biraj Gautam","Pop",110,"Romantic,Happy"
"Resham Firiri","Narayan Gopal","Folk",110,"Nostalgic,Calm"
"Lolayeka Ti Thula","Ghulam Ali","Classical",90,"Sad,Melancholic"
"Phool Lai Sodhei","Aruna Lama","Classical",85,"Sad,Romantic"
"Marna Baru Garho Hunna","Phatteman Rajbhandari","Classical",80,"Sad,Melancholic"
"Mutu Jali Rahechha","Bhakta Raj Acharya","Classical",85,"Sad,Melancholic"
"Mero Pau Ma","Gopal Yonjan, Meera Rana","Classical",100,"Calm,Traditional"
"Ritu Haru Ma Timi","Arun Thapa","Pop",95,"Romantic,Sad"
"Lajjawati Jhar","Mahesh Kafle, Asmita Adhikari","Pop",105,"Romantic,Happy"
"Chhati Chirera","Pramod Kharel","Pop",100,"Sad,Melancholic"
"Chharka Dheba","Kuma Sagar, Kwopaa Band","Folk/Contemporary Folk",105,"Cultural,Reflective"
"Jun Tara Ma Timi","Mr PK Beats","Rap‑Pop Fusion",110,"Energetic,Modern"
"Timile Reteu Manko Tar","Salon Basnet, Malika Mahat","Movie‑Pop",115,"Romantic,Melodic"
"LAST CHAWAK CHHA YAR","Saugat Malla","Pop/Ballad",100,"Emotional,Story‑driven"
"Dushman Hereko Herai","Durgesh Thapa","Pop",120,"Patriotic,Motivational"
"Behuli","Sajjan Raj Vaidya","Acoustic Pop",90,"Calm,Emotional"
"Bardali","Sushant KC","Pop",110,"Smooth,Romantic"
"Aankha Aankha Bichma","Ekdev Limbu","Folk/Pop",110,"Mellow,Emotional"
"Radha","Swoopna Suman, Abhigya Ghimire","Pop",115,"Romantic,Melodic"
"Jun Na Heri","Wangden Sherpa, Sushant Ghimire","Pop",115,"Uplifting,Heartfelt"
"Changaa Chait","Sushant KC","Pop",120,"Happy,Uplifting"
"Timro Muskan","Swoopna Suman","Pop",125,"Happy,Romantic"
"Maya Ko Baato","Sajjan Raj Vaidya","Indie",85,"Sad,Romantic"
"Kaha Janchau","Nepathya","Rock",140,"Energetic,Inspirational"
"Himal Ko Kakh","Kutumba","Instrumental",100,"Calm,Traditional"
"Bichhod Ko Pida","Rajesh Payal Rai","Pop",80,"Sad,Melancholic"
"Naachideu","VTEN","Rap",95,"Energetic,Rebellious"
"Timro Saath","Yabesh Thapa","Indie",90,"Romantic,Calm"
"Pahad Ko Chiso","Tribal Rain","Folk",110,"Nostalgic,Calm"
"Dil Ko Kura","Samir Shrestha","Pop",115,"Romantic,Happy"
"Juneli Raat","Oasis Thapa","Indie",100,"Calm,Romantic"
"Sapana Haru","Shanti Shree Pariyar","Pop",105,"Sad,Dreamy"
"Mero Man","Asmita Adhikari","Pop",110,"Romantic,Happy"
"Chokho Maya","Eleena Chauhan","Pop",115,"Romantic,Uplifting"
"Saath Diu","Mahesh Kafle","Pop",120,"Happy,Romantic"
"Birami Maya","Brijesh Shrestha","Indie",90,"Sad,Romantic"
"Gaun Ko Thito","Khem Century","Folk",115,"Happy,Traditional"
"Raat Ko Sapana","Kali Prasad Baskota","Pop",100,"Calm,Dreamy"
"Timilai Dekhda","Ashish Aviral","Pop",110,"Happy,Romantic"
"Mero Geet","Purna Rai","Pop",105,"Happy,Uplifting"
"Hamro Nepal","Yodda","Rap",100,"Energetic,Patriotic"
"Timro Yaad","Chirag Khadka","Indie",85,"Sad,Melancholic"
"Maya Ko Kahani","Nawaj Ansari","Pop",115,"Romantic,Happy"
"Phool Ko Sugandha","Sugam Pokhrel","Pop",110,"Calm,Romantic"
"Jindagi Ko Mod","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Lagi","Karma Band","Rock",130,"Energetic,Romantic"
"Saanjha Ko Bela","The Uglyz","Pop",105,"Calm,Romantic"
"Mero Desh","Prem Dhoj Pradhan","Folk",110,"Nostalgic,Patriotic"
"Hridaya Ko Dhadkan","Himali Gurung","Pop",115,"Happy,Romantic"
"Timro Aankha","Ravi Thapa","Pop",100,"Romantic,Calm"
"Pahilo Maya","Sita Magar","Pop",110,"Romantic,Happy"
"Chiso Hawa","Aarush Shrestha","Indie",90,"Sad,Calm"
"Man Ko Kura","Nisha Tamang","Pop",105,"Romantic,Sad"
"Geet Ko Lahar","Bijay Lama","Pop",115,"Happy,Uplifting"
"Timro Muskan 2","Suman Rai","Pop",120,"Happy,Romantic"
"Jivan Ko Rang","Anita Chhetri","Pop",110,"Happy,Inspirational"
"Maya Ko Duri","Prabin Gurung","Indie",85,"Sad,Romantic"
"Timro Saath Ma","Lila Bhattarai","Pop",105,"Romantic,Calm"
"Kusume Rumal","Narayan Gopal","Folk",110,"Nostalgic,Romantic"
"Timilai Samjhi","Phatteman Rajbhandari","Classical",90,"Sad,Melancholic"
"Aankha Ko Nani","Aruna Lama","Classical",85,"Sad,Romantic"
"Mero Jivan","Bhakta Raj Acharya","Classical",80,"Sad,Introspective"
"Dil Ko Bhaka","Gopal Yonjan","Classical",95,"Calm,Traditional"
"Timro Chhaya","Arun Thapa","Pop",100,"Romantic,Sad"
"Man Ko Bhawana","Tanka Budhathoki","Pop",110,"Romantic,Happy"
"Timro Lagi Geet","Melina Rai","Pop",115,"Romantic,Uplifting"
"Pahad Ko Suseli","Bishnu Majhi","Folk",105,"Nostalgic,Happy"
"Chhati Ko Dukh","Pramod Kharel","Pop",100,"Sad,Melancholic"
"Timro Muskurahat","Swoopna Suman","Pop",120,"Happy,Romantic"
"Maya Ko Jadoo","Sushant KC","Pop",115,"Happy,Uplifting"
"Saat Rang","Sajjan Raj Vaidya","Indie",90,"Romantic,Introspective"
"Timro Bato","Nepathya","Rock",135,"Energetic,Inspirational"
"Dil Ko Maya","Yabesh Thapa","Indie",85,"Sad,Romantic"
"Chiso Chiso Hawa","Oasis Thapa","Indie",95,"Calm,Romantic"
"Man Ko Dukh","Rajesh Payal Rai","Pop",100,"Sad,Melancholic"
"Timro Lagi Dil","Sushant KC","Pop",120,"Happy,Romantic"
"Hamro Geet","VTEN","Rap",100,"Energetic,Rebellious"
"Pahilo Bhet","Samir Shrestha","Pop",110,"Romantic,Happy"
"Timro Muskan Ma","Shanti Shree Pariyar","Pop",115,"Happy,Romantic"
"Jivan Ko Safar","Asmita Adhikari","Pop",105,"Sad,Introspective"
"Maya Ko Chhaya","Eleena Chauhan","Pop",110,"Romantic,Calm"
"Timilai Bhetne","Mahesh Kafle","Pop",115,"Happy,Romantic"
"Chhati Ko Kura","Brijesh Shrestha","Indie",90,"Sad,Romantic"
"Gaun Ko Kahani","Khem Century","Folk",110,"Nostalgic,Happy"
"Raat Ko Tara","Kali Prasad Baskota","Pop",105,"Calm,Dreamy"
"Timro Sapana","Ashish Aviral","Pop",110,"Romantic,Happy"
"Mero Maya Timilai","Purna Rai","Pop",115,"Romantic,Uplifting"
"Desh Ko Geet","Yodda","Rap",95,"Energetic,Patriotic"
"Timro Yaad Ma","Chirag Khadka","Indie",85,"Sad,Melancholic"
"Maya Ko Sapana","Nawaj Ansari","Pop",110,"Romantic,Happy"
"Phool Ko Rang","Sugam Pokhrel","Pop",105,"Calm,Romantic"
"Jivan Ko Geet","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Saath Liyera","Karma Band","Rock",130,"Energetic,Romantic"
"Saanjha Ko Chhaya","The Uglyz","Pop",105,"Calm,Romantic"
"Mero Desh Ko Maya","Prem Dhoj Pradhan","Folk",110,"Nostalgic,Patriotic"
"Timro Hridaya","Himali Gurung","Pop",115,"Happy,Romantic"
"Aankha Ko Tara","Ravi Thapa","Pop",100,"Romantic,Calm"
"Pahilo Prem","Sita Magar","Pop",110,"Romantic,Happy"
"Chiso Man","Aarush Shrestha","Indie",90,"Sad,Calm"
"Man Ko Bhaw","Nisha Tamang","Pop",105,"Romantic,Sad"
"Geet Ko Lahar Ma","Bijay Lama","Pop",115,"Happy,Uplifting"
"Timro Muskan 3","Suman Rai","Pop",120,"Happy,Romantic"
"Jivan Ko Sugandha","Anita Chhetri","Pop",110,"Happy,Inspirational"
"Maya Ko Duri Ma","Prabin Gurung","Indie",85,"Sad,Romantic"
"Timro Saath Ko","Lila Bhattarai","Pop",105,"Romantic,Calm"
"Timilai Samjhera","Narayan Gopal","Folk",110,"Nostalgic,Romantic"
"Man Ko Aanshu","Phatteman Rajbhandari","Classical",90,"Sad,Melancholic"
"Aankha Ko Sapana","Aruna Lama","Classical",85,"Sad,Romantic"
"Mero Jivan Ko","Bhakta Raj Acharya","Classical",80,"Sad,Introspective"
"Dil Ko Dhadkan","Gopal Yonjan","Classical",95,"Calm,Traditional"
"Timro Maya Ko","Arun Thapa","Pop",100,"Romantic,Sad"
"Man Ko Kura Ma","Tanka Budhathoki","Pop",110,"Romantic,Happy"
"Timro Lagi Maya","Melina Rai","Pop",115,"Romantic,Uplifting"
"Pahad Ko Geet","Bishnu Majhi","Folk",105,"Nostalgic,Happy"
"Chhati Ko Maya","Pramod Kharel","Pop",100,"Sad,Melancholic"
"Timro Muskurahat Ma","Swoopna Suman","Pop",120,"Happy,Romantic"
"Maya Ko Jadoo Ma","Sushant KC","Pop",115,"Happy,Uplifting"
"Timro Saath Bina","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Man Ko Suseli","Nepathya","Rock",135,"Energetic,Inspirational"
"Mai Chori Sundari","Bharati Upadhya","Folk",110,"Happy,Traditional"
"Rajamati Kumati","Prem Dhoj Pradhan","Classical",90,"Nostalgic,Traditional"
"Mathi Mathi Sailunge Ma","Kunti Moktan","Folk",105,"Nostalgic,Celebratory"
"Choli Ramro Palpali Dhaka Ko","Kunti Moktan","Folk",115,"Happy,Traditional"
"Maya Ko Dori Le","Deepak Bajracharya","Pop",120,"Happy,Romantic"
"Oh Amira","Deepak Bajracharya","Pop",125,"Energetic,Romantic"
"Ritu","Deepak Bajracharya","Pop",110,"Romantic,Calm"
"Allare","Deepak Bajracharya","Pop",115,"Happy,Energetic"
"Man Magan","Deepak Bajracharya","Pop",120,"Happy,Uplifting"
"Lahana Le Jurayoki","Yama Buddha","Rap",100,"Energetic,Rebellious"
"Farki Farki","Albatross","Rock",135,"Energetic,Nostalgic"
"Dashain Aayo","Sugam Pokhrel","Folk",110,"Happy,Celebratory"
"Timro Lagi Jaan","Swoopna Suman","Pop",115,"Romantic,Happy"
"Mero Man Ko Kura","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Pahilo Nazarma","Oasis Thapa","Indie",95,"Romantic,Calm"
"Timro Bina","Yabesh Thapa","Indie",85,"Sad,Romantic"
"Geet Haru","Samir Shrestha","Pop",110,"Happy,Romantic"
"Maya Ko Sapna","Shanti Shree Pariyar","Pop",105,"Romantic,Dreamy"
"Timro Chhaya Ma","Asmita Adhikari","Pop",110,"Romantic,Calm"
"Dil Ko Baat","Eleena Chauhan","Pop",115,"Happy,Romantic"
"Timilai Maya Garchu","Mahesh Kafle","Pop",120,"Happy,Romantic"
"Man Ko Pida","Brijesh Shrestha","Indie",90,"Sad,Melancholic"
"Gaun Ko Suseli","Khem Century","Folk",105,"Nostalgic,Happy"
"Saanjha Ko Tara","Kali Prasad Baskota","Pop",105,"Calm,Dreamy"
"Timro Muskan Ko Lagi","Ashish Aviral","Pop",110,"Happy,Romantic"
"Mero Jivan Ko Maya","Purna Rai","Pop",115,"Romantic,Uplifting"
"Desh Ko Dhadkan","Yodda","Rap",95,"Energetic,Patriotic"
"Timro Yaad Ko Chhaya","Chirag Khadka","Indie",85,"Sad,Melancholic"
"Maya Ko Geet","Nawaj Ansari","Pop",110,"Romantic,Happy"
"Phool Ko Maya","Sugam Pokhrel","Pop",105,"Calm,Romantic"
"Jivan Ko Kahani","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Saath Ko Maya","Karma Band","Rock",130,"Energetic,Romantic"
"Saanjha Ko Suseli","The Uglyz","Pop",105,"Calm,Romantic"
"Mero Desh Ko Geet","Prem Dhoj Pradhan","Folk",110,"Nostalgic,Patriotic"
"Timro Hridaya Ma","Himali Gurung","Pop",115,"Happy,Romantic"
"Aankha Ko Kiran","Ravi Thapa","Pop",100,"Romantic,Calm"
"Pahilo Prem Ko","Sita Magar","Pop",110,"Romantic,Happy"
"Chiso Hawa Ma","Aarush Shrestha","Indie",90,"Sad,Calm"
"Man Ko Geet","Nisha Tamang","Pop",105,"Romantic,Sad"
"Geet Ko Dhoon","Bijay Lama","Pop",115,"Happy,Uplifting"
"Timro Muskan Ko Geet","Suman Rai","Pop",120,"Happy,Romantic"
"Jivan Ko Phool","Anita Chhetri","Pop",110,"Happy,Inspirational"
"Maya Ko Duri Ko","Prabin Gurung","Indie",85,"Sad,Romantic"
"Timro Saath Ko Geet","Lila Bhattarai","Pop",105,"Romantic,Calm"
"Timilai Samjhera Ko","Narayan Gopal","Folk",110,"Nostalgic,Romantic"
"Man Ko Aanshu Ko","Phatteman Rajbhandari","Classical",90,"Sad,Melancholic"
"Aankha Ko Sapna Ko","Aruna Lama","Classical",85,"Sad,Romantic"
"Mero Jivan Ko Geet","Bhakta Raj Acharya","Classical",80,"Sad,Introspective"
"Dil Ko Dhadkan Ko","Gopal Yonjan","Classical",95,"Calm,Traditional"
"Timro Maya Ko Geet","Arun Thapa","Pop",100,"Romantic,Sad"
"Zha Zhal Ko","Rajan Raj Shiwakoti","Folk",110,"Happy,Celebratory"
"Jindagima Jitai Chhaina","Melina Rai","Pop",100,"Sad,Introspective"
"Mitho Mitho","Anju Panta","Pop",115,"Romantic,Happy"
"Surke Thaili Khai","Rajan Raj Shiwakoti, Anju Panta","Pop",120,"Happy,Uplifting"
"Paan Ko Pat","Bishnu Majhi","Folk",105,"Happy,Traditional"
"Ma Prem Ma","Swoopna Suman","Pop",110,"Romantic,Happy"
"Dhunge Bagara Maya","Khem Century","Folk",115,"Romantic,Nostalgic"
"Parelima Lukai Rakhana","Pramod Kharel","Pop",100,"Romantic,Sad"
"Sasurali Ma","Tanka Budathoki","Pop",115,"Happy,Romantic"
"Saathi","Yama Buddha","Rap",95,"Energetic,Rebellious"
"Chot Ke Ho Byatha Ke Ho","Arun Thapa","Pop",90,"Sad,Melancholic"
"Jati Maya Laae Pani","Arun Thapa","Pop",95,"Romantic,Sad"
"Saanjh Ko Joon Sangai","Arun Thapa","Pop",100,"Romantic,Calm"
"Bhulun Bhulun Lagyo Malai","Arun Thapa","Pop",95,"Sad,Melancholic"
"Ma Roe Pani","Arun Thapa","Pop",90,"Sad,Introspective"
"Pohor Saal","Aruna Lama","Classical",85,"Sad,Nostalgic"
"Eh Kaanchha Malai Soon Ko Tara","Aruna Lama","Classical",90,"Romantic,Calm"
"Yeti Dherai","Aruna Lama","Classical",80,"Sad,Melancholic"
"Eklai Basda","Aruna Lama","Classical",85,"Sad,Introspective"
"Bhettinu Chuttinu","Aruna Lama","Classical",90,"Romantic,Sad"
"Banai Khayo Dandhelo Le","Phatteman Rajbhandari","Classical",95,"Sad,Melancholic"
"Esto Pani Hundo Raichha","Phatteman Rajbhandari","Classical",90,"Sad,Introspective"
"Sannani Ko Gaalai Ma","Phatteman Rajbhandari","Classical",85,"Romantic,Calm"
"Raktim","Phatteman Rajbhandari","Classical",80,"Sad,Melancholic"
"Euta Manchhe Ko","Narayan Gopal","Classical",90,"Sad,Introspective"
"Yeti Dherai Maya Dii","Narayan Gopal","Classical",85,"Romantic,Sad"
"Gaajalu Ti Thula Thula Aakha","Ghulam Ali","Classical",90,"Romantic,Sad"
"Kina Kina Timro Tasbir","Ghulam Ali","Classical",85,"Sad,Melancholic"
"Ke Chha Ra Diu","Ghulam Ali","Classical",80,"Sad,Introspective"
"Ama Lai Shraddhanjali","Navneet Aditya Waiba","Folk",110,"Nostalgic,Traditional"
"Timro Mann Ma","Sushant KC","Pop",120,"Happy,Romantic"
"Dil Ko Safar","Sajjan Raj Vaidya","Indie",90,"Romantic,Introspective"
"Man Ko Sapana","Yabesh Thapa","Indie",85,"Sad,Romantic"
"Timro Hridaya Ko","Oasis Thapa","Indie",95,"Romantic,Calm"
"Geet Ko Maya","Samir Shrestha","Pop",110,"Happy,Romantic"
"Maya Ko Lahar","Shanti Shree Pariyar","Pop",105,"Romantic,Dreamy"
"Timro Chhaya Ko","Asmita Adhikari","Pop",110,"Romantic,Calm"
"Dil Ko Geet","Eleena Chauhan","Pop",115,"Happy,Romantic"
"Timilai Maya Ko","Mahesh Kafle","Pop",120,"Happy,Romantic"
"Man Ko Baat","Brijesh Shrestha","Indie",90,"Sad,Melancholic"
"Gaun Ko Maya","Khem Century","Folk",105,"Nostalgic,Happy"
"Saanjha Ko Geet","Kali Prasad Baskota","Pop",105,"Calm,Dreamy"
"Timro Muskan Ko Maya","Ashish Aviral","Pop",110,"Happy,Romantic"
"Mero Jivan Ko Geet","Purna Rai","Pop",115,"Romantic,Uplifting"
"Desh Ko Maya","Yodda","Rap",95,"Energetic,Patriotic"
"Timro Yaad Ko Geet","Chirag Khadka","Indie",85,"Sad,Melancholic"
"Maya Ko Kahani Ma","Nawaj Ansari","Pop",110,"Romantic,Happy"
"Phool Ko Dhoon","Sugam Pokhrel","Pop",105,"Calm,Romantic"
"Jivan Ko Safar Ma","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Saath Ko Geet","Karma Band","Rock",130,"Energetic,Romantic"
"Timro Lagi Mero Maya","Anju Panta","Pop",115,"Romantic,Happy"
"Tihar Aayo","Sugam Pokhrel","Folk",110,"Happy,Celebratory"
"Dil Ko Bato","VTEN","Rap",100,"Energetic,Rebellious"
"Man Ko Kotha","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Pahilo Prem Ma","Yabesh Thapa","Indie",85,"Romantic,Calm"
"Timro Muskan Le","Sushant KC","Pop",120,"Happy,Romantic"
"Gaun Ko Chhoro","Khem Century","Folk",105,"Nostalgic,Happy"
"Maya Ko Duniya","Samir Shrestha","Pop",110,"Romantic,Happy"
"Timro Saath Le","Shanti Shree Pariyar","Pop",105,"Romantic,Dreamy"
"Dil Ko Chhaya","Asmita Adhikari","Pop",110,"Romantic,Calm"
"Timilai Samjhanda","Eleena Chauhan","Pop",115,"Happy,Romantic"
"Mero Prem Ko","Mahesh Kafle","Pop",120,"Happy,Romantic"
"Man Ko Dukha","Brijesh Shrestha","Indie",90,"Sad,Melancholic"
"Saanjha Ko Lahar","Kali Prasad Baskota","Pop",105,"Calm,Dreamy"
"Timro Maya Le","Ashish Aviral","Pop",110,"Happy,Romantic"
"Mero Jivan Ko Sapana","Purna Rai","Pop",115,"Romantic,Uplifting"
"Desh Ko Suseli","Yodda","Rap",95,"Energetic,Patriotic"
"Timro Yaad Le","Chirag Khadka","Indie",85,"Sad,Melancholic"
"Maya Ko Baat","Nawaj Ansari","Pop",110,"Romantic,Happy"
"Phool Ko Geet","Sugam Pokhrel","Pop",105,"Calm,Romantic"
"Jivan Ko Dhoon","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Saath Ko Lahar","Karma Band","Rock",130,"Energetic,Romantic"
"Saanjha Ko Maya","The Uglyz","Pop",105,"Calm,Romantic"
"Mero Desh Ko Suseli","Prem Dhoj Pradhan","Folk",110,"Nostalgic,Patriotic"
"Timro Hridaya Le","Himali Gurung","Pop",115,"Happy,Romantic"
"Aankha Ko Dhoon","Ravi Thapa","Pop",100,"Romantic,Calm"
"Pahilo Maya Ko","Sita Magar","Pop",110,"Romantic,Happy"
"Chiso Raat Ma","Aarush Shrestha","Indie",90,"Sad,Calm"
"Man Ko Lahar","Nisha Tamang","Pop",105,"Romantic,Sad"
"Geet Ko Suseli","Bijay Lama","Pop",115,"Happy,Uplifting"
"Timro Muskan Ko Dhoon","Suman Rai","Pop",120,"Happy,Romantic"
"Jivan Ko Chhaya","Anita Chhetri","Pop",110,"Happy,Inspirational"
"Maya Ko Sapana Ma","Prabin Gurung","Indie",85,"Sad,Romantic"
"Timro Saath Ko Dhoon","Lila Bhattarai","Pop",105,"Romantic,Calm"
"Timilai Samjhanda Ko","Narayan Gopal","Folk",110,"Nostalgic,Romantic"
"Man Ko Pida Ko","Phatteman Rajbhandari","Classical",90,"Sad,Melancholic"
"Aankha Ko Maya","Aruna Lama","Classical",85,"Sad,Romantic"
"Mero Jivan Ko Dhoon","Bhakta Raj Acharya","Classical",80,"Sad,Introspective"
"Dil Ko Suseli","Gopal Yonjan","Classical",95,"Calm,Traditional"
"Timro Maya Ko Dhoon","Arun Thapa","Pop",100,"Romantic,Sad"
"Man Ko Kura Ko","Tanka Budhathoki","Pop",110,"Romantic,Happy"
"Timro Lagi Geet Ko","Melina Rai","Pop",115,"Romantic,Uplifting"
"Pahad Ko Maya","Bishnu Majhi","Folk",105,"Nostalgic,Happy"
"Chhati Ko Geet","Pramod Kharel","Pop",100,"Sad,Melancholic"
"Timro Muskurahat Ko","Swoopna Suman","Pop",120,"Happy,Romantic"
"Maya Ko Jadoo Ko","Sushant KC","Pop",115,"Happy,Uplifting"
"Timro Saath Bina Ko","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Man Ko Geet Ko","Nepathya","Rock",135,"Energetic,Inspirational"
"Dil Ko Maya Ko","Oasis Thapa","Indie",95,"Romantic,Calm"
"Timro Hridaya Ma Ko","Samir Shrestha","Pop",110,"Happy,Romantic"
"Maya Ko Rimjhim","Anju Panta","Pop",115,"Romantic,Happy"
"Basanta Ko Hawa","Sugam Pokhrel","Pop",110,"Happy,Calm"
"K Yo Maya Ho","VTEN","Rap",100,"Energetic,Romantic"
"Timro Man Ko Kotha","Sajjan Raj Vaidya","Indie",90,"Sad,Romantic"
"Pahilo Bhet Ko","Yabesh Thapa","Indie",85,"Romantic,Calm"
"Timro Muskan Ko Jadoo","Sushant KC","Pop",120,"Happy,Romantic"
"Gaun Ko Dhoon","Khem Century","Folk",105,"Nostalgic,Happy"
"Maya Ko Sansar","Samir Shrestha","Pop",110,"Romantic,Happy"
"Timro Saath Ko Sapana","Shanti Shree Pariyar","Pop",105,"Romantic,Dreamy"
"Dil Ko Dhoon","Asmita Adhikari","Pop",110,"Romantic,Calm"
"Timilai Samjhandai","Eleena Chauhan","Pop",115,"Happy,Romantic"
"Mero Prem Ko Geet","Mahesh Kafle","Pop",120,"Happy,Romantic"
"Man Ko Chhaya Ma","Brijesh Shrestha","Indie",90,"Sad,Melancholic"
"Saanjha Ko Dhoon","Kali Prasad Baskota","Pop",105,"Calm,Dreamy"
"Timro Maya Ko Jadoo","Ashish Aviral","Pop",110,"Happy,Romantic"
"Mero Jivan Ko Lahar","Purna Rai","Pop",115,"Romantic,Uplifting"
"Desh Ko Geet Ko","Yodda","Rap",95,"Energetic,Patriotic"
"Timro Yaad Ko Dhoon","Chirag Khadka","Indie",85,"Sad,Melancholic"
"Maya Ko Sansar Ma","Nawaj Ansari","Pop",110,"Romantic,Happy"
"Phool Ko Lahar","Sugam Pokhrel","Pop",105,"Calm,Romantic"
"Jivan Ko Geet Ma","Nabin K Bhattarai","Pop",100,"Sad,Introspective"
"Timro Saath Ko Dhoon","Karma Band","Rock",130,"Energetic,Romantic"
"Saanjha Ko Suseli Ko","The Uglyz","Pop",105,"Calm,Romantic"
"Mero Desh Ko Dhoon","Prem Dhoj Pradhan","Folk",110,"Nostalgic,Patriotic"
"Timro Hridaya Ko Geet","Himali Gurung","Pop",115,"Happy,Romantic"
"Aankha Ko Lahar","Ravi Thapa","Pop",100,"Romantic,Calm"
"Pahilo Maya Ko Geet","Sita Magar","Pop",110,"Romantic,Happy"
"Chiso Raat Ko","Aarush Shrestha","Indie",90,"Sad,Calm"
"Man Ko Suseli Ko","Nisha Tamang","Pop",105,"Romantic,Sad"
"Geet Ko Maya Ko","Bijay Lama","Pop",115,"Happy,Uplifting"
"Timro Muskan Ko Lahar","Suman Rai","Pop",120,"Happy,Romantic"
"Jivan Ko Dhoon Ko","Anita Chhetri","Pop",110,"Happy,Inspirational"
"Maya Ko Lahar Ma","Prabin Gurung","Indie",85,"Sad,Romantic"
"Timro Saath Ko Maya Ko","Lila Bhattarai","Pop",105,"Romantic,Calm"
"Timilai Samjhanda Ma","Narayan Gopal","Folk",110,"Nostalgic,Romantic"
"Man Ko Dukha Ko","Phatteman Rajbhandari","Classical",90,"Sad,Melancholic"
"Aankha Ko Geet","Aruna Lama","Classical",85,"Sad,Romantic"
