title,artist,genre,tempo,mood_tags,combined_features
Kutu Ma Kutu,"Rajan Raj Shiwakoti, Melina Rai",Pop,120,"Happy,Celebratory",rajanrajshiwakoti melinarai pop 120 happy celebratory
Sali Mann Paryo,"Kali Prasad Baskota, Ashmita Adhikari",Pop,115,"Happy,Romantic",kaliprasadbaskota ashmitaadhikari pop 115 happy romantic
Maya Birani,"Mahesh Kafle, Melina Rai",Pop,110,"Romantic,Calm",maheshkafle melinarai pop 110 romantic calm
Phul Butte Sari,"Rajan Raj Shiwakoti, Milan Newar",Folk,105,"Happy,Celebratory",rajanrajshiwakoti milannewar folk 105 happy celebratory
Kasari Kasari 2,"Tanka Budhathoki, Melina Rai",Pop,100,"Romantic,Sad",tankabudhathoki melinarai pop 100 romantic sad
Nacha Firiri,"Mahesh Kafle, Melina Rai",Folk,110,"Nostalgic,Happy",maheshkafle melinarai folk 110 nostalgic happy
Gojima Daam Chaina,"Rajan Raj Shiwakoti, Melina Rai",Pop,125,"Happy,Uplifting",rajanrajshiwakoti melinarai pop 125 happy uplifting
Salko Pat Ko Tapari,"Bishnu Majhi, Kulendra BC",Folk,115,"Happy,Traditional",bishnumajhi kulendrabc folk 115 happy traditional
Lajalu Mayalu,"Urgen Dong, Anu Chaudhary",Pop,110,"Romantic,Happy",urgendong anuchaudhary pop 110 romantic happy
Chamak Chamak,Santosh Sunar,Pop,120,"Happy,Energetic",santoshsunar pop 120 happy energetic
Hamro Yo Maya Nachutos,"Urgen Dong, Benisha Poudel",Pop,105,"Romantic,Calm",urgendong benishapoudel pop 105 romantic calm
Darshan Salam,"Deepak Raj Giri, Swastima Khadka",Pop,115,"Happy,Celebratory",deepakrajgiri swastimakhadka pop 115 happy celebratory
Meri Champa,Tanka Timilsina,Folk,110,"Romantic,Nostalgic",tankatimilsina folk 110 romantic nostalgic
Chhunumunu Chhunumunu,Ashish Aviral,Pop,120,"Happy,Uplifting",ashishaviral pop 120 happy uplifting
Keshari,SD Yogi,Pop,115,"Energetic,Romantic",sdyogi pop 115 energetic romantic
Fulai Ful Dinchhu Ki,Shiva Pariyar,Pop,100,"Romantic,Sad",shivapariyar pop 100 romantic sad
Rupai Mohani,Tanka Budathoki,Pop,110,"Happy,Romantic",tankabudathoki pop 110 happy romantic
Parana Parana,Pushpan Pradhan,Pop,105,"Romantic,Calm",pushpanpradhan pop 105 romantic calm
Pahilo Number Ma,"David Shanker, Bindu Pariyar",Pop,120,"Happy,Energetic",davidshanker bindupariyar pop 120 happy energetic
Pirim Nalaune,"Melina Rai, Ashish Sachin",Pop,115,"Romantic,Sad",melinarai ashishsachin pop 115 romantic sad
Maya Luki Luki,Biraj Gautam,Pop,110,"Romantic,Happy",birajgautam pop 110 romantic happy
Resham Firiri,Narayan Gopal,Folk,110,"Nostalgic,Calm",narayangopal folk 110 nostalgic calm
Lolayeka Ti Thula,Ghulam Ali,Classical,90,"Sad,Melancholic",ghulamali classical 90 sad melancholic
Phool Lai Sodhei,Aruna Lama,Classical,85,"Sad,Romantic",arunalama classical 85 sad romantic
Marna Baru Garho Hunna,Phatteman Rajbhandari,Classical,80,"Sad,Melancholic",phattemanrajbhandari classical 80 sad melancholic
Mutu Jali Rahechha,Bhakta Raj Acharya,Classical,85,"Sad,Melancholic",bhaktarajacharya classical 85 sad melancholic
Mero Pau Ma,"Gopal Yonjan, Meera Rana",Classical,100,"Calm,Traditional",gopalyonjan meerarana classical 100 calm traditional
Ritu Haru Ma Timi,Arun Thapa,Pop,95,"Romantic,Sad",arunthapa pop 95 romantic sad
Lajjawati Jhar,"Mahesh Kafle, Asmita Adhikari",Pop,105,"Romantic,Happy",maheshkafle asmitaadhikari pop 105 romantic happy
Chhati Chirera,Pramod Kharel,Pop,100,"Sad,Melancholic",pramodkharel pop 100 sad melancholic
Chharka Dheba,"Kuma Sagar, Kwopaa Band",Folk/Contemporary Folk,105,"Cultural,Reflective",kumasagar kwopaaband folk/contemporary folk 105 cultural reflective
Jun Tara Ma Timi,Mr PK Beats,Rap‑Pop Fusion,110,"Energetic,Modern",mrpkbeats rap‑pop fusion 110 energetic modern
Timile Reteu Manko Tar,"Salon Basnet, Malika Mahat",Movie‑Pop,115,"Romantic,Melodic",salonbasnet malikamahat movie‑pop 115 romantic melodic
LAST CHAWAK CHHA YAR,Saugat Malla,Pop/Ballad,100,"Emotional,Story‑driven",saugatmalla pop/ballad 100 emotional story‑driven
Dushman Hereko Herai,Durgesh Thapa,Pop,120,"Patriotic,Motivational",durgeshthapa pop 120 patriotic motivational
Behuli,Sajjan Raj Vaidya,Acoustic Pop,90,"Calm,Emotional",sajjanrajvaidya acoustic pop 90 calm emotional
Bardali,Sushant KC,Pop,110,"Smooth,Romantic",sushantkc pop 110 smooth romantic
Aankha Aankha Bichma,Ekdev Limbu,Folk/Pop,110,"Mellow,Emotional",ekdevlimbu folk/pop 110 mellow emotional
Radha,"Swoopna Suman, Abhigya Ghimire",Pop,115,"Romantic,Melodic",swoopnasuman abhigyaghimire pop 115 romantic melodic
Jun Na Heri,"Wangden Sherpa, Sushant Ghimire",Pop,115,"Uplifting,Heartfelt",wangdensherpa sushantghimire pop 115 uplifting heartfelt
Changaa Chait,Sushant KC,Pop,120,"Happy,Uplifting",sushantkc pop 120 happy uplifting
Timro Muskan,Swoopna Suman,Pop,125,"Happy,Romantic",swoopnasuman pop 125 happy romantic
Maya Ko Baato,Sajjan Raj Vaidya,Indie,85,"Sad,Romantic",sajjanrajvaidya indie 85 sad romantic
Kaha Janchau,Nepathya,Rock,140,"Energetic,Inspirational",nepathya rock 140 energetic inspirational
Himal Ko Kakh,Kutumba,Instrumental,100,"Calm,Traditional",kutumba instrumental 100 calm traditional
Bichhod Ko Pida,Rajesh Payal Rai,Pop,80,"Sad,Melancholic",rajeshpayalrai pop 80 sad melancholic
Naachideu,VTEN,Rap,95,"Energetic,Rebellious",vten rap 95 energetic rebellious
Timro Saath,Yabesh Thapa,Indie,90,"Romantic,Calm",yabeshthapa indie 90 romantic calm
Pahad Ko Chiso,Tribal Rain,Folk,110,"Nostalgic,Calm",tribalrain folk 110 nostalgic calm
Dil Ko Kura,Samir Shrestha,Pop,115,"Romantic,Happy",samirshrestha pop 115 romantic happy
Juneli Raat,Oasis Thapa,Indie,100,"Calm,Romantic",oasisthapa indie 100 calm romantic
Sapana Haru,Shanti Shree Pariyar,Pop,105,"Sad,Dreamy",shantishreepariyar pop 105 sad dreamy
Mero Man,Asmita Adhikari,Pop,110,"Romantic,Happy",asmitaadhikari pop 110 romantic happy
Chokho Maya,Eleena Chauhan,Pop,115,"Romantic,Uplifting",eleenachauhan pop 115 romantic uplifting
Saath Diu,Mahesh Kafle,Pop,120,"Happy,Romantic",maheshkafle pop 120 happy romantic
Birami Maya,Brijesh Shrestha,Indie,90,"Sad,Romantic",brijeshshrestha indie 90 sad romantic
Gaun Ko Thito,Khem Century,Folk,115,"Happy,Traditional",khemcentury folk 115 happy traditional
Raat Ko Sapana,Kali Prasad Baskota,Pop,100,"Calm,Dreamy",kaliprasadbaskota pop 100 calm dreamy
Timilai Dekhda,Ashish Aviral,Pop,110,"Happy,Romantic",ashishaviral pop 110 happy romantic
Mero Geet,Purna Rai,Pop,105,"Happy,Uplifting",purnarai pop 105 happy uplifting
Hamro Nepal,Yodda,Rap,100,"Energetic,Patriotic",yodda rap 100 energetic patriotic
Timro Yaad,Chirag Khadka,Indie,85,"Sad,Melancholic",chiragkhadka indie 85 sad melancholic
Maya Ko Kahani,Nawaj Ansari,Pop,115,"Romantic,Happy",nawajansari pop 115 romantic happy
Phool Ko Sugandha,Sugam Pokhrel,Pop,110,"Calm,Romantic",sugampokhrel pop 110 calm romantic
Jindagi Ko Mod,Nabin K Bhattarai,Pop,100,"Sad,Introspective",nabinkbhattarai pop 100 sad introspective
Timro Lagi,Karma Band,Rock,130,"Energetic,Romantic",karmaband rock 130 energetic romantic
Saanjha Ko Bela,The Uglyz,Pop,105,"Calm,Romantic",theuglyz pop 105 calm romantic
Mero Desh,Prem Dhoj Pradhan,Folk,110,"Nostalgic,Patriotic",premdhojpradhan folk 110 nostalgic patriotic
Hridaya Ko Dhadkan,Himali Gurung,Pop,115,"Happy,Romantic",himaligurung pop 115 happy romantic
Timro Aankha,Ravi Thapa,Pop,100,"Romantic,Calm",ravithapa pop 100 romantic calm
Pahilo Maya,Sita Magar,Pop,110,"Romantic,Happy",sitamagar pop 110 romantic happy
Chiso Hawa,Aarush Shrestha,Indie,90,"Sad,Calm",aarushshrestha indie 90 sad calm
Man Ko Kura,Nisha Tamang,Pop,105,"Romantic,Sad",nishatamang pop 105 romantic sad
Geet Ko Lahar,Bijay Lama,Pop,115,"Happy,Uplifting",bijaylama pop 115 happy uplifting
Timro Muskan 2,Suman Rai,Pop,120,"Happy,Romantic",sumanrai pop 120 happy romantic
Jivan Ko Rang,Anita Chhetri,Pop,110,"Happy,Inspirational",anitachhetri pop 110 happy inspirational
Maya Ko Duri,Prabin Gurung,Indie,85,"Sad,Romantic",prabingurung indie 85 sad romantic
Timro Saath Ma,Lila Bhattarai,Pop,105,"Romantic,Calm",lilabhattarai pop 105 romantic calm
Kusume Rumal,Narayan Gopal,Folk,110,"Nostalgic,Romantic",narayangopal folk 110 nostalgic romantic
Timilai Samjhi,Phatteman Rajbhandari,Classical,90,"Sad,Melancholic",phattemanrajbhandari classical 90 sad melancholic
Aankha Ko Nani,Aruna Lama,Classical,85,"Sad,Romantic",arunalama classical 85 sad romantic
Mero Jivan,Bhakta Raj Acharya,Classical,80,"Sad,Introspective",bhaktarajacharya classical 80 sad introspective
Dil Ko Bhaka,Gopal Yonjan,Classical,95,"Calm,Traditional",gopalyonjan classical 95 calm traditional
Timro Chhaya,Arun Thapa,Pop,100,"Romantic,Sad",arunthapa pop 100 romantic sad
Man Ko Bhawana,Tanka Budhathoki,Pop,110,"Romantic,Happy",tankabudhathoki pop 110 romantic happy
Timro Lagi Geet,Melina Rai,Pop,115,"Romantic,Uplifting",melinarai pop 115 romantic uplifting
Pahad Ko Suseli,Bishnu Majhi,Folk,105,"Nostalgic,Happy",bishnumajhi folk 105 nostalgic happy
Chhati Ko Dukh,Pramod Kharel,Pop,100,"Sad,Melancholic",pramodkharel pop 100 sad melancholic
Timro Muskurahat,Swoopna Suman,Pop,120,"Happy,Romantic",swoopnasuman pop 120 happy romantic
Maya Ko Jadoo,Sushant KC,Pop,115,"Happy,Uplifting",sushantkc pop 115 happy uplifting
Saat Rang,Sajjan Raj Vaidya,Indie,90,"Romantic,Introspective",sajjanrajvaidya indie 90 romantic introspective
Timro Bato,Nepathya,Rock,135,"Energetic,Inspirational",nepathya rock 135 energetic inspirational
Dil Ko Maya,Yabesh Thapa,Indie,85,"Sad,Romantic",yabeshthapa indie 85 sad romantic
Chiso Chiso Hawa,Oasis Thapa,Indie,95,"Calm,Romantic",oasisthapa indie 95 calm romantic
Man Ko Dukh,Rajesh Payal Rai,Pop,100,"Sad,Melancholic",rajeshpayalrai pop 100 sad melancholic
Timro Lagi Dil,Sushant KC,Pop,120,"Happy,Romantic",sushantkc pop 120 happy romantic
Hamro Geet,VTEN,Rap,100,"Energetic,Rebellious",vten rap 100 energetic rebellious
Pahilo Bhet,Samir Shrestha,Pop,110,"Romantic,Happy",samirshrestha pop 110 romantic happy
Timro Muskan Ma,Shanti Shree Pariyar,Pop,115,"Happy,Romantic",shantishreepariyar pop 115 happy romantic
Jivan Ko Safar,Asmita Adhikari,Pop,105,"Sad,Introspective",asmitaadhikari pop 105 sad introspective
Maya Ko Chhaya,Eleena Chauhan,Pop,110,"Romantic,Calm",eleenachauhan pop 110 romantic calm
Timilai Bhetne,Mahesh Kafle,Pop,115,"Happy,Romantic",maheshkafle pop 115 happy romantic
Chhati Ko Kura,Brijesh Shrestha,Indie,90,"Sad,Romantic",brijeshshrestha indie 90 sad romantic
Gaun Ko Kahani,Khem Century,Folk,110,"Nostalgic,Happy",khemcentury folk 110 nostalgic happy
Raat Ko Tara,Kali Prasad Baskota,Pop,105,"Calm,Dreamy",kaliprasadbaskota pop 105 calm dreamy
Timro Sapana,Ashish Aviral,Pop,110,"Romantic,Happy",ashishaviral pop 110 romantic happy
Mero Maya Timilai,Purna Rai,Pop,115,"Romantic,Uplifting",purnarai pop 115 romantic uplifting
Desh Ko Geet,Yodda,Rap,95,"Energetic,Patriotic",yodda rap 95 energetic patriotic
Timro Yaad Ma,Chirag Khadka,Indie,85,"Sad,Melancholic",chiragkhadka indie 85 sad melancholic
Maya Ko Sapana,Nawaj Ansari,Pop,110,"Romantic,Happy",nawajansari pop 110 romantic happy
Phool Ko Rang,Sugam Pokhrel,Pop,105,"Calm,Romantic",sugampokhrel pop 105 calm romantic
Jivan Ko Geet,Nabin K Bhattarai,Pop,100,"Sad,Introspective",nabinkbhattarai pop 100 sad introspective
Timro Saath Liyera,Karma Band,Rock,130,"Energetic,Romantic",karmaband rock 130 energetic romantic
Saanjha Ko Chhaya,The Uglyz,Pop,105,"Calm,Romantic",theuglyz pop 105 calm romantic
Mero Desh Ko Maya,Prem Dhoj Pradhan,Folk,110,"Nostalgic,Patriotic",premdhojpradhan folk 110 nostalgic patriotic
Timro Hridaya,Himali Gurung,Pop,115,"Happy,Romantic",himaligurung pop 115 happy romantic
Aankha Ko Tara,Ravi Thapa,Pop,100,"Romantic,Calm",ravithapa pop 100 romantic calm
Pahilo Prem,Sita Magar,Pop,110,"Romantic,Happy",sitamagar pop 110 romantic happy
Chiso Man,Aarush Shrestha,Indie,90,"Sad,Calm",aarushshrestha indie 90 sad calm
Man Ko Bhaw,Nisha Tamang,Pop,105,"Romantic,Sad",nishatamang pop 105 romantic sad
Geet Ko Lahar Ma,Bijay Lama,Pop,115,"Happy,Uplifting",bijaylama pop 115 happy uplifting
Timro Muskan 3,Suman Rai,Pop,120,"Happy,Romantic",sumanrai pop 120 happy romantic
Jivan Ko Sugandha,Anita Chhetri,Pop,110,"Happy,Inspirational",anitachhetri pop 110 happy inspirational
Maya Ko Duri Ma,Prabin Gurung,Indie,85,"Sad,Romantic",prabingurung indie 85 sad romantic
Timro Saath Ko,Lila Bhattarai,Pop,105,"Romantic,Calm",lilabhattarai pop 105 romantic calm
Timilai Samjhera,Narayan Gopal,Folk,110,"Nostalgic,Romantic",narayangopal folk 110 nostalgic romantic
Man Ko Aanshu,Phatteman Rajbhandari,Classical,90,"Sad,Melancholic",phattemanrajbhandari classical 90 sad melancholic
Aankha Ko Sapana,Aruna Lama,Classical,85,"Sad,Romantic",arunalama classical 85 sad romantic
Mero Jivan Ko,Bhakta Raj Acharya,Classical,80,"Sad,Introspective",bhaktarajacharya classical 80 sad introspective
Dil Ko Dhadkan,Gopal Yonjan,Classical,95,"Calm,Traditional",gopalyonjan classical 95 calm traditional
Timro Maya Ko,Arun Thapa,Pop,100,"Romantic,Sad",arunthapa pop 100 romantic sad
Man Ko Kura Ma,Tanka Budhathoki,Pop,110,"Romantic,Happy",tankabudhathoki pop 110 romantic happy
Timro Lagi Maya,Melina Rai,Pop,115,"Romantic,Uplifting",melinarai pop 115 romantic uplifting
Pahad Ko Geet,Bishnu Majhi,Folk,105,"Nostalgic,Happy",bishnumajhi folk 105 nostalgic happy
Chhati Ko Maya,Pramod Kharel,Pop,100,"Sad,Melancholic",pramodkharel pop 100 sad melancholic
Timro Muskurahat Ma,Swoopna Suman,Pop,120,"Happy,Romantic",swoopnasuman pop 120 happy romantic
Maya Ko Jadoo Ma,Sushant KC,Pop,115,"Happy,Uplifting",sushantkc pop 115 happy uplifting
Timro Saath Bina,Sajjan Raj Vaidya,Indie,90,"Sad,Romantic",sajjanrajvaidya indie 90 sad romantic
Man Ko Suseli,Nepathya,Rock,135,"Energetic,Inspirational",nepathya rock 135 energetic inspirational
Mai Chori Sundari,Bharati Upadhya,Folk,110,"Happy,Traditional",bharatiupadhya folk 110 happy traditional
Rajamati Kumati,Prem Dhoj Pradhan,Classical,90,"Nostalgic,Traditional",premdhojpradhan classical 90 nostalgic traditional
Mathi Mathi Sailunge Ma,Kunti Moktan,Folk,105,"Nostalgic,Celebratory",kuntimoktan folk 105 nostalgic celebratory
Choli Ramro Palpali Dhaka Ko,Kunti Moktan,Folk,115,"Happy,Traditional",kuntimoktan folk 115 happy traditional
Maya Ko Dori Le,Deepak Bajracharya,Pop,120,"Happy,Romantic",deepakbajracharya pop 120 happy romantic
Oh Amira,Deepak Bajracharya,Pop,125,"Energetic,Romantic",deepakbajracharya pop 125 energetic romantic
Ritu,Deepak Bajracharya,Pop,110,"Romantic,Calm",deepakbajracharya pop 110 romantic calm
Allare,Deepak Bajracharya,Pop,115,"Happy,Energetic",deepakbajracharya pop 115 happy energetic
Man Magan,Deepak Bajracharya,Pop,120,"Happy,Uplifting",deepakbajracharya pop 120 happy uplifting
Lahana Le Jurayoki,Yama Buddha,Rap,100,"Energetic,Rebellious",yamabuddha rap 100 energetic rebellious
Farki Farki,Albatross,Rock,135,"Energetic,Nostalgic",albatross rock 135 energetic nostalgic
Dashain Aayo,Sugam Pokhrel,Folk,110,"Happy,Celebratory",sugampokhrel folk 110 happy celebratory
Timro Lagi Jaan,Swoopna Suman,Pop,115,"Romantic,Happy",swoopnasuman pop 115 romantic happy
Mero Man Ko Kura,Sajjan Raj Vaidya,Indie,90,"Sad,Romantic",sajjanrajvaidya indie 90 sad romantic
Pahilo Nazarma,Oasis Thapa,Indie,95,"Romantic,Calm",oasisthapa indie 95 romantic calm
Timro Bina,Yabesh Thapa,Indie,85,"Sad,Romantic",yabeshthapa indie 85 sad romantic
Geet Haru,Samir Shrestha,Pop,110,"Happy,Romantic",samirshrestha pop 110 happy romantic
Maya Ko Sapna,Shanti Shree Pariyar,Pop,105,"Romantic,Dreamy",shantishreepariyar pop 105 romantic dreamy
Timro Chhaya Ma,Asmita Adhikari,Pop,110,"Romantic,Calm",asmitaadhikari pop 110 romantic calm
Dil Ko Baat,Eleena Chauhan,Pop,115,"Happy,Romantic",eleenachauhan pop 115 happy romantic
Timilai Maya Garchu,Mahesh Kafle,Pop,120,"Happy,Romantic",maheshkafle pop 120 happy romantic
Man Ko Pida,Brijesh Shrestha,Indie,90,"Sad,Melancholic",brijeshshrestha indie 90 sad melancholic
Gaun Ko Suseli,Khem Century,Folk,105,"Nostalgic,Happy",khemcentury folk 105 nostalgic happy
Saanjha Ko Tara,Kali Prasad Baskota,Pop,105,"Calm,Dreamy",kaliprasadbaskota pop 105 calm dreamy
Timro Muskan Ko Lagi,Ashish Aviral,Pop,110,"Happy,Romantic",ashishaviral pop 110 happy romantic
Mero Jivan Ko Maya,Purna Rai,Pop,115,"Romantic,Uplifting",purnarai pop 115 romantic uplifting
Desh Ko Dhadkan,Yodda,Rap,95,"Energetic,Patriotic",yodda rap 95 energetic patriotic
Timro Yaad Ko Chhaya,Chirag Khadka,Indie,85,"Sad,Melancholic",chiragkhadka indie 85 sad melancholic
Maya Ko Geet,Nawaj Ansari,Pop,110,"Romantic,Happy",nawajansari pop 110 romantic happy
Phool Ko Maya,Sugam Pokhrel,Pop,105,"Calm,Romantic",sugampokhrel pop 105 calm romantic
Jivan Ko Kahani,Nabin K Bhattarai,Pop,100,"Sad,Introspective",nabinkbhattarai pop 100 sad introspective
Timro Saath Ko Maya,Karma Band,Rock,130,"Energetic,Romantic",karmaband rock 130 energetic romantic
Saanjha Ko Suseli,The Uglyz,Pop,105,"Calm,Romantic",theuglyz pop 105 calm romantic
Mero Desh Ko Geet,Prem Dhoj Pradhan,Folk,110,"Nostalgic,Patriotic",premdhojpradhan folk 110 nostalgic patriotic
Timro Hridaya Ma,Himali Gurung,Pop,115,"Happy,Romantic",himaligurung pop 115 happy romantic
Aankha Ko Kiran,Ravi Thapa,Pop,100,"Romantic,Calm",ravithapa pop 100 romantic calm
Pahilo Prem Ko,Sita Magar,Pop,110,"Romantic,Happy",sitamagar pop 110 romantic happy
Chiso Hawa Ma,Aarush Shrestha,Indie,90,"Sad,Calm",aarushshrestha indie 90 sad calm
Man Ko Geet,Nisha Tamang,Pop,105,"Romantic,Sad",nishatamang pop 105 romantic sad
Geet Ko Dhoon,Bijay Lama,Pop,115,"Happy,Uplifting",bijaylama pop 115 happy uplifting
Timro Muskan Ko Geet,Suman Rai,Pop,120,"Happy,Romantic",sumanrai pop 120 happy romantic
Jivan Ko Phool,Anita Chhetri,Pop,110,"Happy,Inspirational",anitachhetri pop 110 happy inspirational
Maya Ko Duri Ko,Prabin Gurung,Indie,85,"Sad,Romantic",prabingurung indie 85 sad romantic
Timro Saath Ko Geet,Lila Bhattarai,Pop,105,"Romantic,Calm",lilabhattarai pop 105 romantic calm
Timilai Samjhera Ko,Narayan Gopal,Folk,110,"Nostalgic,Romantic",narayangopal folk 110 nostalgic romantic
Man Ko Aanshu Ko,Phatteman Rajbhandari,Classical,90,"Sad,Melancholic",phattemanrajbhandari classical 90 sad melancholic
Aankha Ko Sapna Ko,Aruna Lama,Classical,85,"Sad,Romantic",arunalama classical 85 sad romantic
Mero Jivan Ko Geet,Bhakta Raj Acharya,Classical,80,"Sad,Introspective",bhaktarajacharya classical 80 sad introspective
Dil Ko Dhadkan Ko,Gopal Yonjan,Classical,95,"Calm,Traditional",gopalyonjan classical 95 calm traditional
Timro Maya Ko Geet,Arun Thapa,Pop,100,"Romantic,Sad",arunthapa pop 100 romantic sad
Zha Zhal Ko,Rajan Raj Shiwakoti,Folk,110,"Happy,Celebratory",rajanrajshiwakoti folk 110 happy celebratory
Jindagima Jitai Chhaina,Melina Rai,Pop,100,"Sad,Introspective",melinarai pop 100 sad introspective
Mitho Mitho,Anju Panta,Pop,115,"Romantic,Happy",anjupanta pop 115 romantic happy
Surke Thaili Khai,"Rajan Raj Shiwakoti, Anju Panta",Pop,120,"Happy,Uplifting",rajanrajshiwakoti anjupanta pop 120 happy uplifting
Paan Ko Pat,Bishnu Majhi,Folk,105,"Happy,Traditional",bishnumajhi folk 105 happy traditional
